Codice,Nome,Designer,Materiale_Rivestimento,Solo_Pelle,Solo_Tessuto,Mix_Pelle_Tessuto_Possibile,Sfoderabile,Meccanismi_Relax,Poggiatesta_Regolabile,Funzione_Letto,Modulare,Struttura_Interna,Piedi_Materiale,Piedi_Finiture,Piedi_Altezza_cm,Piedi_Assemblati,Cuscino_Seduta_Stato,Cuscino_Spalliera_Stato,Note_Versioni_Configurazioni,Anno_Nascita,Imbottitura_Memory_Foam,Imbottitura_Climalight,Imbottitura_Piuma,Piedi_Ant_Post_Diversi,Opzione_Batteria,Porta_USB,Laterali_Componibile_Materiale,Tipo_Cuciture_Speciali,Contrasto_Filo_Bordino,Note_Restrizioni_Materiali,Note_Caratteristiche_Speciali
3262,Semplice,Natuzzi Design Center,Non Specificato,Non Specificato,Non Specificato,No,No,No,No,No,Sì,Non Specificato,Metallo (Nascosti),"Non Specificato",4.0,No,"Amovibili","Amovibili","Cuscini volanti opzionali (V.089/109) ordinabili diversi. V.463 utilizzabile come pouf o angolare senza schienale (con ganci). Laterali divano rivestiti con agganci nascosti e amovibili.",2023,No,Sì,No,No,No,No,Non Specificato,Nessuna,No,Non Specificato,"Componibile versatile. Look informale, silhouette essenziale. Cuscini seduta/schienale poliuretano (35) + fodera Climalight (Microflock 100% poliestere riciclato). Cuscini schienale con rullo appoggio posteriore. Cinghie elastiche sotto seduta. Piedi in busta. Piedini nascosti antigraffio/antiscivolo."
3263,Easy,Natuzzi Design Center,Pelle/Tessuto,No,No,Sì,No,Letto (Ready-to-bed),No,Sì,Sì,Non Specificato,Metallo (Nascosti),"Non Specificato",4.5,No,Non Specificato,Non Specificato,"Meccanismo 'ready-to-bed'. Tasca esterna bracciolo con bordino (Pelle: Tono su tono; Tessuto: Pelle contrasto Le Mans cat.15 o Tessuto Tono su tono). Versione divano letto doghe legno, Materasso Greenplus (11cm, 160/140cm). V. letto (008/101) con leva nascosta per spostamento (ruote). Chaise-longue sempre con contenitore. V.828: supporto metallico rotante opzionale su bracciolo (comodino/vassoio/tavolino).",2023,No,No,No,No,No,No,Non Specificato,Nessuna,Sì,"Pelle: da cat.15 (Le Mans). Non disponibile in pelle Misterbianco (cat.30).","Prodotto facile utilizzo. Comfort divano senza funzione. Stile moderno, arrotondato. Cuscini seduta poliuretano alta densità (35), comfort standard (più rigido se letto). Piedi in busta. Piedini nascosti antiscivolo/antigraffio."
3265,Simple,Natuzzi Design Center,Tessuto,No,Sì,No,No,Letto (Ready-to-bed),No,Sì,No,Non Specificato,Metallo (Nascosti),"Non Specificato",4.0,No,Non Specificato,Non Specificato,"Versione divano letto rete elettrosaldata, Materasso Greenplus (11cm, 160/140cm). V. letto (008/101) con leva nascosta per spostamento (ruote). Meccanismo “Ready-to-bed"" (maniglia su schienale).",2023,No,No,No,No,No,No,Non Applicabile,Nessuna,No,Non Specificato,"Alto comfort, look moderno, linee essenziali. Cuscini seduta poliuretano alta densità (35), comfort standard (più rigido se letto). Piedi in busta. Piedini nascosti antiscivolo/antigraffio."
3268,Colle,STUDIO BIG — Bjarke Ingels Group,Pelle/Tessuto,No,No,No,Sì,No,No,No,Sì,Legno multistrato,Legno,"Base: frassino affumicato (ST12)",8.0 (Base),No,Non Specificato,Non Specificato,"Disponibile pelle spessorata (codice Sxxx - Art. Cassidy cat.60, Misterbianco cat.30). Ganci rimovibili su ogni modulo.",2023,Sì,No,No,No,No,No,Non Specificato,"Taglio a vivo (se Sxxx)",Sì (Bordino Tono su Tono),"Pelle: da cat.15 (Le Mans).","Ispirato primi modelli Natuzzi (stile morbido, accogliente). Relax mediterraneo. ""Grinze"" su rivestimento esaltano morbidezza/comfort visivo. Bordino Tono su Tono. Cuscino seduta con memory foam. Cinghie elastiche sotto seduta/schienale. Base legno con gommini antigraffio/antiscivolo (non assemblata, in busta)."
3269,Splash,Enrique Marti,Pelle/Tessuto,No,No,Sì,No,No,No,No,No,"Metallo rivestito Poliuretano",Metallo (Nascosti),"Non Specificato",4.0,No,Non Specificato,Non Specificato,"Cuscini disponibili tono su tono o in contrasto.",2023,No,No,No,No,No,No,Non Applicabile,Nessuna,Sì,"Pelle: da cat.30. Non disponibile in pelle Misterbianco (cat.30).","Momento di riposo, benessere. Linee curve avvolgenti. Struttura interna metallo rivestita poliuretano densità differenziate (sostegno spalliera 50, sofficità seduta 40). Telaio seduta legno multistrato, cinghie elastiche. Piedi in busta. Piedini nascosti antiscivolo/antigraffio."
3270,Melody,Simone Bonanni Studio,Pelle/Tessuto,No,No,No,No,No,No,No,Sì,Legno multistrato,Metallo (Nascosti),"Non Specificato",4.0,No,Non Specificato,Non Specificato,"Cuscini opzionali (V.238, V.208) 2 dimensioni/forme (pelle/tessuto). Elementi terminali forma organica (V.715, V.716). Laterali divano rivestiti con agganci nascosti e amovibili.",2023,No,No,No,No,No,No,Non Specificato,Nessuna,Sì (Bordino Tono su Tono),"Pelle: da cat.15 (Le Mans). Non disponibile in pelle Misterbianco (cat.30).","Bordino tono su tono. Cuscino seduta/spalliera poliuretano densità differenziata (sostenuto seduta, morbido spalliera). Cinghie elastiche sotto seduta/schienale. Piedi in busta. Piedini nascosti antiscivolo/antigraffio."
3273,Wellbe,Natuzzi Design Center,Pelle/Tessuto,No,No,Sì,No,"Recliner (Triple Motion)",Sì,No,Sì,Legno,Metallo (Nascosti),"Non Specificato",4.0,No,Non Specificato,Non Specificato,"Sistema modulare. Bordino Tono su Tono o a contrasto (se Tessuto, bordino Pelle Le Mans/Stromboli). Funzione relax Triple Motion (poggiapiedi, poggiatesta, supporto lombare). Pulsante ""home"". Pulsante recliner su bracciolo (o lato seduta senza braccioli). Opzione controllo App/Telecomando (V.PXX). Bracciolo flessibile con tasca porta oggetti. Presa USB C integrata (solo versioni motion). Etichetta posizione pulsantiera. Lovechair recliner. Angolare trapezoidale. 3 larghezze seduta. Disponibile vers. 830 Battery Bank. Sedute componibili fiancata non rivestita.",2023,No,No,No,No,Sì,Sì,Non Specificato,Nessuna,Sì,"Pelle: da cat.15 (Le Mans). Non disponibile in pelle Misterbianco (cat.30).","Comfort, funzionalità, design contemporaneo. Ampio abaco configurazioni. Bracciolo profilo sottile (forma guanciale). Cuscino seduta/spalliera poliuretano densità differenziata. Agganci ogni seduta. Piedi in busta. Piedini nascosti antiscivolo/antigraffio."
3279,Domus,Natuzzi Design Center,Pelle/Tessuto,No,No,Sì,No,"Recliner (Doppio Motore, Zero-Gravity)",Sì,No,Sì,Non Specificato,Non Specificato,"Piani appoggio: Rovere affumicato (ST32), Rovere grigio (ST23), Noce (ST39).",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"TESSUTO: 2°Riv=Profilo contrasto Pelle (CAT 15 Le Mans, 30 Stromboli, 40 Siena). Versioni reclinabili/non reclinabili. Meccanismo doppio motore (pulsanti frontali: poggiatesta>poggiapiedi; pulsanti interni: controllo individuale poggiatesta). Funzione Zero-Gravity. Angolare 45°/terminale. Consolle tra sedili. Piani appoggio integrabili (V.820 rett. s/contenitore, 821 rett. c/contenitore, 823 trapez. c/contenitore).",2024,No,No,No,No,No,No,Non Specificato,Nessuna,Sì,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Ispirato Domus romana. Comfort, eleganza. Funzione Zero-Gravity (benefici circolazione, stress, tensione). Piani appoggio versatili."
3281,Plutone,Natuzzi Design Center,Pelle/Tessuto,No,No,No,No,No,Sì,No,Sì,Non Specificato,Metallo,"74 (Graphite Grey Rough), 79 (Matt Black)",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Modulare (lineare, sectional angolo 45°). Poggiatesta regolabile (tranne angolo 045). Ganci sedute modulari.",2024,No,No,No,No,No,No,Non Specificato,Nessuna,No,"Pelle: da cat.15 (Le Mans). Non disponibile in pelle Misterbianco (cat.30).","Eleganza minimalista. Sofisticatezza moderna."
3287,Snail,Natuzzi Design Center,Pelle/Tessuto,No,No,Sì,No,"Schienale Scorrevole (Manuale/Soft Touch)",No,No,Sì,Non Specificato,Metallo (Nascosti),"Non Specificato",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Bordo perimetro Tono su Tono (Pelle) o contrasto (Tessuto: Bordo Pelle cat.15/25/30/40). Meccanismo scorrevole schienale (movimento 400mm, profondità seduta 60-100cm). Opzione Soft Touch (pulsanti interno bracciolo V.727/728; lato interno seduta V.761/790). Disponibile vers. 830 Battery Bank (1 per seduta motion). Laterale divano rivestito. Ganci rimovibili ogni modulo.",2024,No,No,No,No,Sì,No,Non Specificato,Nessuna,Sì,"Pelle: da cat.15 (Le Mans). Non disponibile in pelle Misterbianco (cat.30).","Design unico, eleganza natura. Forma laterale lumaca. Schienale traslante. Seduta informale/chaise longue compatta. Piedini nascosti antiscivolo/antigraffio."
3289,Mindful,Natuzzi Design Center,Pelle/Tessuto,No,No,Sì,No,"Triple Motion, Zero Gravity, 365, Micromobility",Sì,No,Sì,Non Specificato,Non Specificato,"Tavolini/Ripiani: V.816/817 (laterale), V.821/823 (tra sedute). Q083001XNA (centrale sollevabile), Q083002XNA (rotondo accent) listino complementi.",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Modulare (lineare, sectional angolo 45°, Chaise Longue, terminale tondo). Angolo taglio concavo. Inserti pelle (seduta/schienale) e piping Tono su Tono o contrasto (Tessuto: Piping Pelle cat.15/25/30/40). Meccanismi innovativi: 365 (sincronizzazione respiro/battito), Micromobility (stimolazione muscolare), Triple Motion (poggiatesta, lombare, poggiapiedi), Zero Gravity. Funzioni ""365""/Micromobility solo V.QXX (telecomando V.831 opzionale). Triple Motion/Zero Gravity V.QXX (telecomando) e V.NXX (tastiera). Kit batteria V.830 solo per V.NXX (1 per seduta). V.715/716/045 senza poggiatesta reclinabile.",2024,No,No,No,No,Sì (NXX),No,Non Specificato,Nessuna,Sì,"Pelle: da cat.15 (Le Mans). Non disponibile in pelle Misterbianco (cat.30).","Divano visionario. Armonia corpo in movimento. Ultime innovazioni tecnologia movimento. Tavolini/ripiani complementari."
3303,Mirai,Andrea Steidl,Pelle/Tessuto,No,No,Sì,No,No,No,No,Sì,Non Specificato,Legno,"32 (Rovere Affumicato)",Non Specificato,Non Specificato,"Cuscini seduta fissi","Fissati con zip (volante su V.003)",Disponibile lineare/sectionals. Moduli terminali unici (V.200/201); chaise longue (V.047/049). Cuscini schienale rettangolari piuma (fissati zip; tranne V.003 volante). Cuscini quadrati opzionali (V.089) decorativi/comfort. Inserto pelle perimetro bracciolo/schienale (Pelle: Tono su Tono; Tessuto: Inserto Pelle cat.15/25/30/40). V.003 Inserto Pelle (2°Riv); Cuscino schienale (3°Riv) pelle/tessuto. Laterale divano rivestito. Ganci rimovibili ogni modulo.,2024,No,No,Sì,No,No,No,Non Specificato,Nessuna,Sì,"Pelle: da cat.25 (Status). Non disponibile in pelle Misterbianco (cat.30).","Ispirato architettura federiciana Puglia. Struttura forte ma leggera. Profondità architettonica, morbidezza contemporanea. Cuscini seduta poliuretano alta densità (35)."
3305,Momento,Simone Bonanni Studio,Pelle/Tessuto,No,No,No,No,No,No,No,Sì,Legno multistrato,Metallo (Nascosti),"Non Specificato",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Modulare (lineare, sectional angolo 45°). Cuscino volante V.089 (supporto lombare/decorativo). Ottoman V.044 con ruote nascoste. Tavolino integrato rovere affumicato (Q983001XNA) listino complementi. Laterale divano rivestito.",2024,No,No,No,No,No,No,Non Specificato,Nessuna,No,"Pelle: da cat.25 (Status). Non disponibile in pelle Misterbianco (cat.30).","Puzzle moderno, creativo. Composizione a strati (muretti a secco Puglia). Telaio seduta legno multistrato, cinghie elastiche. Piedini nascosti antiscivolo/antigraffio."
3306,Memoria,Karim Rashid,Pelle/Tessuto,No,No,No,Sì,No,No,No,Sì,Non Specificato,Metallo (Nascosti),"Non Specificato",4.0,Non Specificato,Non Specificato,Non Specificato,"Disponibile pelle spessorata (codice Sxxx - Art. Cassidy cat.60, Misterbianco cat.30). Modulare (lineare, sectional angolo 90° morbido/ondulato V.029). Terminale forme organiche (V.220/221). Divano 3 posti sinuoso (V.216/217, 2 prof. seduta). Laterale divano rivestito. Ganci rimovibili ogni modulo.",2024,No,No,No,No,No,No,Non Specificato,"Taglio a vivo (se Sxxx)",No,"Pelle: da cat.25 (Status).","Curve morbide, linee sinuose. Bellezza incontro, fluidità relazioni umane. Cuscini seduta/schienale poliuretano alta densità. Piedini nascosti antiscivolo/antigraffio."
3307,Evergreen,Natuzzi Design Center,Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Non Specificato",Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,2024,Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Applicabile,Nessuna,Non Specificato,Non Specificato,Nessuna informazione specifica fornita nella descrizione.
3309,Faraone,Natuzzi Design Center,Pelle/Tessuto,No,No,Sì,No,"Recliner (Doppio Motore, Zero-Gravity)",Sì,No,Sì,Non Specificato,Non Specificato,"Tavolini: finitura cioccolato opaco.",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Disponibile pelle spessorata (codice Sxxx - Art. Cassidy cat.60, Misterbianco cat.30). Ordinabile tessuto (codice V309). PELLE: cuciture stile mocassino (poggiatesta, braccioli, profilo anteriore seduta). TESSUTO (V309): 1°Tessuto=principale, 2°Pelle=inserto contrasto (CAT 15 Le Mans, 25 Status, 30 Stromboli, 40 Siena). Versioni reclinabili/non reclinabili. Meccanismo doppio motore (pulsanti frontali: poggiatesta>poggiapiedi; pulsanti interni: controllo individuale poggiatesta). Funzione Zero-Gravity. Angolare 45°. Consolle tra sedili (rettangolari/trapezoidali, c/vano portaoggetti).",2024,No,No,No,No,No,No,Non Specificato,"Mocassino (Pelle)",Sì,"Pelle: da cat.15 (Le Mans).","Ispirato Nefertiti. Profilo busto Nefertiti su bracciolo. Funzione Zero-Gravity (benefici circolazione, stress, tensione)."
600K,"Re-Vive Quilted King",Non Specificato,Non Specificato,Non Specificato,Non Specificato,Sì,No,"Re-Vive",No,No,No,Non Specificato,Metallo,"opaco nero (BF01), bianco (BF02), marrone (BF03)",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"BICOLORE: bordino da ordinare come secondo rivestimento (stessa categoria prezzo).",Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Trapuntatura (Quilted),Sì (Bordino),Non Specificato,Struttura e base disponibili in 3 finiture.
600Q,"Re-Vive Quilted Queen",Non Specificato,Non Specificato,Non Specificato,Non Specificato,Sì,No,"Re-Vive",No,No,No,Non Specificato,Metallo,"opaco nero (BF01), bianco (BF02), marrone (BF03)",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"BICOLORE: bordino da ordinare come secondo rivestimento (stessa categoria prezzo).",Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Trapuntatura (Quilted),Sì (Bordino),Non Specificato,Struttura e base disponibili in 3 finiture.
603K,"Re-Vive Casual King",Non Specificato,Non Specificato,Non Specificato,Non Specificato,Sì,No,"Re-Vive",No,No,No,Non Specificato,Metallo,"opaco nero (BF01), bianco (BF02), marrone (BF03)",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"BICOLORE: 1°Riv=Scocca, 2°Riv=Braccioli, cuscini seduta/spalliera.",Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Nessuna,Sì,Non Specificato,Struttura e base disponibili in 3 finiture.
603Q,"Re-Vive Casual Queen",Non Specificato,Non Specificato,Non Specificato,Non Specificato,Sì,No,"Re-Vive",No,No,No,Non Specificato,Metallo,"opaco nero (BF01), bianco (BF02), marrone (BF03)",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"BICOLORE: 1°Riv=Scocca, 2°Riv=Braccioli, cuscini seduta/spalliera.",Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Nessuna,Sì,Non Specificato,Struttura e base disponibili in 3 finiture.
604K,"Re-Vive Club King",Non Specificato,Pelle,Sì,No,No,No,"Re-Vive",No,No,No,Non Specificato,Metallo,"opaco nero (BF01), bianco (BF02), marrone (BF03)",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Disponibile pelle spessorata (codice Sxxx - Art. Cassidy cat.60, Misterbianco cat.30).",Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Nessuna,No,Non Specificato,Struttura e base disponibili in 3 finiture.
604Q,"Re-Vive Club Queen",Non Specificato,Pelle,Sì,No,No,No,"Re-Vive",No,No,No,Non Specificato,Metallo,"opaco nero (BF01), bianco (BF02), marrone (BF03)",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Disponibile pelle spessorata (codice Sxxx - Art. Cassidy cat.60, Misterbianco cat.30).",Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Nessuna,No,Non Specificato,Struttura e base disponibili in 3 finiture.
605K,"Re-Vive Lounge King",Non Specificato,Pelle,Sì,No,No,No,"Re-Vive",No,No,No,Non Specificato,Metallo,"opaco nero (BF01), bianco (BF02), marrone (BF03)",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Disponibile pelle spessorata (codice Sxxx - Art. Cassidy cat.60, Misterbianco cat.30).",Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Nessuna,No,Non Specificato,Struttura e base disponibili in 3 finiture.
605Q,"Re-Vive Lounge Queen",Non Specificato,Pelle,Sì,No,No,No,"Re-Vive",No,No,No,Non Specificato,Metallo,"opaco nero (BF01), bianco (BF02), marrone (BF03)",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Disponibile pelle spessorata (codice Sxxx - Art. Cassidy cat.60, Misterbianco cat.30).",Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Nessuna,No,Non Specificato,Struttura e base disponibili in 3 finiture.
608K,"Re-Vive Wing Back King",Non Specificato,Non Specificato,Non Specificato,Non Specificato,Sì,No,"Re-Vive",No,No,No,Non Specificato,Metallo,"opaco nero (BF01), bianco (BF02), marrone (BF03)",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"V.704 composta da poltrona e poggiapiedi. BICOLORE: 1°Riv=Scocca, 2°Riv=Braccioli, cuscini seduta/spalliera.",Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Nessuna,Sì,Non Specificato,"Forma accogliente braccioli. Ampio avvolgente schienale. Poggiatesta originale ""ali"". Struttura e base disponibili in 3 finiture."
608Q,"Re-Vive Wing Back Queen",Non Specificato,Non Specificato,Non Specificato,Non Specificato,Sì,No,"Re-Vive",No,No,No,Non Specificato,Metallo,"opaco nero (BF01), bianco (BF02), marrone (BF03)",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"V.704 composta da poltrona e poggiapiedi. BICOLORE: 1°Riv=Scocca, 2°Riv=Braccioli, cuscini seduta/spalliera.",Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Nessuna,Sì,Non Specificato,"Forma accogliente braccioli. Ampio avvolgente schienale. Poggiatesta originale ""ali"". Struttura e base disponibili in 3 finiture."
613K,"Re-Vive Myway King",Non Specificato,Non Specificato,Non Specificato,Non Specificato,No,No,"Re-Vive",No,No,No,Non Specificato,Metallo,"Standard: (BF01) black/black, (BF02) white/white, (BF03) brown/brown",Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,No,Sì,No,Non Specificato,No,No,Non Applicabile,Trapuntatura (Quilted),No,Non Specificato,"Geometria trapuntata leggera. Schiena/struttura integrate imbottitura (stile down jacket). Mix poliuretano alta densità (35HM)/CLIMALIGHT. Base/Coppa plastica sotto seduta disponibili in 3 finiture standard."
613Q,"Re-Vive Myway Queen",Non Specificato,Non Specificato,Non Specificato,Non Specificato,No,No,"Re-Vive",No,No,No,Non Specificato,Metallo,"Standard: (BF01) black/black, (BF02) white/white, (BF03) brown/brown",Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,No,Sì,No,Non Specificato,No,No,Non Applicabile,Trapuntatura (Quilted),No,Non Specificato,"Geometria trapuntata leggera. Schiena/struttura integrate imbottitura (stile down jacket). Mix poliuretano alta densità (35HM)/CLIMALIGHT. Base/Coppa plastica sotto seduta disponibili in 3 finiture standard."
615Q,"Re-Vive Shuttle Queen",Non Specificato,Non Specificato,Non Specificato,Non Specificato,Sì,No,"Re-Vive",No,No,No,Non Specificato,Metallo,"Standard: (BF01) black/black, (BF02) white/white, (BF03) brown/brown",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Disponibile con bordino Gros-Grain (3cm, 2°Riv).",Non Specificato,No,Sì,No,Non Specificato,No,No,Non Applicabile,Nessuna,Sì (Bordino Gros-Grain),Non Specificato,"Applicazione bergère classica su Revive. Schiena/struttura integrate imbottitura (stile down jacket). Mix poliuretano alta densità (35HM)/CLIMALIGHT. Base/Coppa plastica sotto seduta disponibili in 3 finiture standard."
L011,Piuma,Claudio Bellini,Pelle/Tessuto,No,No,Sì,No,No,No,No,No,Non Specificato,Non Specificato,"Non Specificato",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"MIX: parte da cat.15. Cat. Mix: 1B, 2B, 3A, 4A. TESSUTO (Mix o Solo): 2°Riv (bandina) solo Rizzoli (70) o Laguna (99).",Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Nessuna,Sì,"Pelle: da cat.15 (Le Mans). Cat. Pelle: 15, 25, 30, 40.","Letto."
L014,Diamante,Non Specificato,Pelle/Tessuto,No,No,No,No,No,No,No,No,Non Specificato,Non Specificato,"Non Specificato",Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Nessuna,No,"PELLE: Articoli Le Mans, Status, Stromboli, Siena. TESSUTO: Non disponibile Retrò, Piazzetta.","Letto."
L016,Dolcevita,Non Specificato,Pelle/Tessuto,No,No,No,No,No,No,No,No,Non Specificato,Non Specificato,"Non Specificato",Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Nessuna,No,"PELLE: Articoli Le Mans, Status, Stromboli, Siena. TESSUTO: Non disponibile Retrò, Piazzetta.","Letto."
L017,Fenice,"Bernhardt & Vella",Pelle/Tessuto,No,No,No,No,Contenitore (opz.),No,No,No,Non Specificato,Metallo,"Non Specificato",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Disponibile con contenitore (V. C0_). Versioni C01-C03 richiedono materasso 34-39kg. Versione C04 richiede materasso 40-45kg.",Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Nessuna,No,"PELLE: Articoli Le Mans, Status, Stromboli, Siena. TESSUTO: Non disponibile Retrò, Piazzetta.","Letto. Testata avvolgente, grandi cuscini morbidi. Dettaglio geometrico incastro testiera/giroletto. Leggera inclinazione testiera per lettura. Piedi metallo incastonati."
L020,Venere,Non Specificato,Pelle/Tessuto,No,No,Sì,No,No,No,No,No,Non Specificato,Non Specificato,"Non Specificato",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Categorie Mix Pelle/Tessuto definite.",Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Nessuna,Sì,"Pelle: da cat.15 (Le Mans).","Letto."
L021,Cala,Non Specificato,Pelle/Tessuto,No,No,No,No,Contenitore (opz.),No,No,No,Legno,Metallo,"78 (Cromo Nero)",Non Specificato,No,Non Specificato,Non Specificato,"Disponibile con contenitore e OPTIONAL SECRET BOX (V. C11-C14) con cassetto scorrevole. Versioni C11-C13 richiedono materasso 34-39kg. Versione C14 richiede materasso 40-45kg. Completato da panca (V.539).",Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,"Cuciture verticali",No,Non Specificato,"Letto. Design elegante, prezioso. Testiera morbidamente imbottita, cuciture verticali. Versatile dimensioni/rivestimenti (4 dim.). Piedi anteriori posizionati diversamente dai posteriori. Piedi in busta."
L023,Briq,Non Specificato,Non Specificato,Non Specificato,Non Specificato,No,No,Contenitore (opz.),No,No,No,Non Specificato,Non Specificato,"Non Specificato",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Disponibile con contenitore (V. C0_). Versioni C01-C03 richiedono materasso 34-39kg. Versione C04 richiede materasso 40-45kg.",Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Nessuna,No,Non Specificato,"Letto."
L024,Ema,Non Specificato,Pelle/Tessuto,No,No,No,No,No,No,No,No,Non Specificato,Non Specificato,"Finitura color cacao verniciata a polvere",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Testiera rivestita anche posteriormente.",Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Nessuna,No,"Pelle: da cat.15 (Le Mans). Non disponibile in pelle Misterbianco (cat.30).","Letto."
L025,Campus,Mauro Lipparini,Pelle/Tessuto,No,No,Sì,Sì,No,No,No,No,Non Specificato,Metallo,"ft 46 champagne, ft 79 nero opaco",Non Specificato,Non Specificato,Non Specificato,"Sfoderabili (Cuscini)",Ordinabile con pelle intrecciata Gargano (2° riv). 1°Riv (cuscini) pelle/tessuto. Cuscini sfoderabili. Testiera rivestita anche posteriormente. Disponibile 4 dimensioni.,Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Intreccio (Gargano),Sì,"Pelle: da cat.15 (Le Mans).","Letto. Piedi verniciati a polvere."
L026,Pincha,Natuzzi Design Center,Pelle/Tessuto,No,No,No,No,Contenitore (opz.),No,No,No,Non Specificato,Metallo (Nascosti),"Non Specificato",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Testiera rivestita anche posteriormente. Disponibile 4 dimensioni. Disponibile con contenitore (V. C0_). Versioni C01-C03 richiedono materasso 34-39kg. Versione C04 richiede materasso 40-45kg.",Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Nessuna,No,"Pelle: da cat.15 (Le Mans).","Letto. Piedini nascosti antigraffio/antiscivolo."
LR25,Campus,Mauro Lipparini,Pelle/Tessuto,No,No,No,Sì,No,No,No,No,Non Specificato,Metallo,"ft 46 champagne, ft 79 nero opaco",Non Specificato,Non Specificato,Non Specificato,"Sfoderabili (Cuscini)",Senza intreccio. Tutto pelle o tessuto (unico rivestimento). Cuscini sfoderabili. Testiera rivestita anche posteriormente. Disponibile 4 dimensioni.,Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Nessuna,No,"Pelle: da cat.15 (Le Mans).","Letto. Piedi verniciati a polvere."
R147,Campus,Mauro Lipparini,Tessuto,No,Sì,No,Sì,No,No,No,Sì,Non Specificato,Metallo,"46 champagne lucido, 79 nero opaco",11.0,No,"Non uniti alla struttura","Non uniti alla struttura","Versione sfoderabile di Campus 3147 (senza pelle scamosciata). V.589 con piano appoggio legno olmo tabacco. Laterali pelle rivestiti (se ordinato in pelle?).",2019,Sì,Sì,No,No,No,No,Pelle,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Design intricato, misurato, sofisticato. Mix imbottiture Poliuretano/Memory/Climalight. Fodera antiscivolo sotto seduta. Piedi associati a colore zip (Champagne/Oro, Nero/Argento). Piedi in busta."
R654,Marlene,Non Specificato,Non Specificato,Non Specificato,Non Specificato,No,Sì,No,No,No,No,Legno,Legno,"09 (Noce), 18 (Wengè)",13.0/8.0,No,Fisso,Fisso,"Versione sfoderabile di Marlene 2654.",Non Specificato,No,No,No,Sì,No,No,Non Applicabile,Nessuna,No,Non Specificato,"Imballo in cartone. Piedi anteriori più alti dei posteriori. Piedi in busta."
